Id,Week,Date,HomeTeam,Score,AwayTeam,Attendence,HTShotsOnTarget,ATShotsOnTarget,HTShotsTotal,ATShotsTotal,HTPossesion,ATPossesion,HTPassesTotal,ATPassesTotal,HTPassingAccuracy,ATPassingAccuracy,HTResult,HTPoints,HTGoalsScored,HTGoalsAgainst,HTGoalDifference,HTMatchesWon,HTMatchesLost,HTMatchesDraw,ATPoints,ATGoalsScored,ATGoalsAgainst,ATGoalDifference,ATMatchesWon,ATMatchesLost,ATMatchesDraw
33,4,09/03/2022 00:00:00,Real Sociedad,1:1,Atlético Madrid,35366,5,7,12,15,54,46,482,405,76,74,D,6,3,4,-1,2,1,0,6,4,2,2,2,1,0
34,4,09/03/2022 00:00:00,Sevilla,0:3,Barcelona,40233,4,5,9,18,46,54,410,478,76,82,L,1,3,5,-2,0,2,1,7,8,1,7,2,0,1
35,4,09/04/2022 00:00:00,Osasuna,2:1,Rayo Vallecano,18745,5,3,13,5,47,53,380,429,69,76,W,6,4,2,2,2,1,0,4,2,2,0,1,1,1
36,4,09/04/2022 00:00:00,Athletic Club,0:1,Espanyol,41574,2,2,17,9,66,34,633,323,81,66,L,7,5,0,5,2,0,1,1,3,7,-4,0,2,1
37,4,09/04/2022 00:00:00,Villarreal,4:0,Elche,13915,10,0,18,7,53,47,506,451,84,84,W,7,5,0,5,2,0,1,1,1,5,-4,0,2,1
38,4,09/04/2022 00:00:00,Valencia,5:1,Getafe,38725,9,4,24,7,69,31,584,261,86,70,W,3,1,2,-1,1,2,0,1,1,6,-5,0,2,1
39,4,09/05/2022 00:00:00,Valladolid,1:0,Almería,2026,6,0,14,12,51,49,405,387,76,73,W,1,1,8,-7,0,2,1,4,4,4,0,1,1,1
40,5,09/09/2022 00:00:00,Girona,2:1,Valladolid,10053,5,4,14,14,45,55,396,492,77,80,W,4,4,4,0,1,2,1,4,2,8,-6,1,2,1
41,5,09/10/2022 00:00:00,Rayo Vallecano,2:1,Valencia,12085,6,4,14,17,46,54,345,402,70,75,W,4,3,4,-1,1,2,1,6,6,3,3,2,2,0
42,5,09/10/2022 00:00:00,Espanyol,2:3,Sevilla,20135,4,7,18,11,58,42,476,339,77,73,L,4,4,7,-3,1,2,1,1,3,8,-5,0,3,1
43,5,09/10/2022 00:00:00,Cádiz,0:4,Barcelona,1953,0,8,6,16,30,70,263,606,61,84,L,0,0,10,-10,0,4,0,10,11,1,10,3,0,1
44,5,09/10/2022 00:00:00,Atlético Madrid,4:1,Celta Vigo,52247,4,3,10,14,46,54,495,591,82,85,W,7,5,3,2,2,1,1,7,7,6,1,2,1,1
45,5,09/11/2022 00:00:00,Real Madrid,4:1,Mallorca,54816,7,2,22,5,68,32,676,318,91,79,W,12,11,4,7,4,0,0,5,4,3,1,1,1,2
46,5,09/11/2022 00:00:00,Elche,1:4,Athletic Club,24176,2,7,9,15,47,53,437,494,79,79,L,1,1,9,-8,0,3,1,7,5,1,4,2,1,1
47,5,09/11/2022 00:00:00,Getafe,2:1,Real Sociedad,11112,2,6,7,13,34,66,290,558,68,83,W,1,2,11,-9,0,3,1,7,4,5,-1,2,1,1
48,5,09/11/2022 00:00:00,Betis,1:0,Villarreal,53276,5,2,16,14,47,53,415,465,82,82,W,9,7,3,4,3,1,0,10,9,0,9,3,0,1
49,5,09/12/2022 00:00:00,Almería,0:1,Osasuna,12397,2,4,7,15,61,39,581,378,81,70,L,4,4,5,-1,1,2,1,9,6,3,3,3,1,0
50,6,09/16/2022 00:00:00,Valladolid,0:1,Cádiz,20295,6,1,18,7,57,43,474,354,81,73,L,4,3,10,-7,1,3,1,0,0,14,-14,0,5,0
51,6,09/17/2022 00:00:00,Mallorca,1:0,Almería,12687,2,2,5,9,44,56,422,530,80,85,W,5,5,7,-2,1,2,2,4,4,6,-2,1,3,1
52,6,09/17/2022 00:00:00,Barcelona,3:0,Elche,85073,9,1,25,1,76,24,762,236,89,65,W,13,15,1,14,4,0,1,1,2,13,-11,0,4,1
53,6,09/17/2022 00:00:00,Valencia,3:0,Celta Vigo,40965,7,2,14,6,65,35,509,279,82,68,W,6,7,5,2,2,3,0,7,8,10,-2,2,2,1
54,6,09/17/2022 00:00:00,Athletic Club,3:2,Rayo Vallecano,43484,7,2,14,11,39,61,360,557,73,80,W,10,9,2,7,3,1,1,7,5,5,0,2,2,1
55,6,09/18/2022 00:00:00,Osasuna,0:2,Getafe,18255,4,4,12,10,55,45,513,412,76,78,L,12,7,3,4,4,1,0,4,4,12,-8,1,3,1
56,6,09/18/2022 00:00:00,Villarreal,1:1,Sevilla,18292,6,1,17,12,46,54,422,499,77,82,D,10,9,1,8,3,1,1,4,6,10,-4,1,3,1
57,6,09/18/2022 00:00:00,Betis,2:1,Girona,52229,2,3,8,9,44,56,460,588,82,86,W,12,8,3,5,4,1,0,7,6,5,1,2,2,1
58,6,09/18/2022 00:00:00,Real Sociedad,2:1,Espanyol,31511,6,4,14,14,62,38,568,343,80,66,W,7,5,7,-2,2,2,1,4,6,10,-4,1,3,1
59,6,09/18/2022 00:00:00,Atlético Madrid,1:2,Real Madrid,66881,4,3,12,6,54,46,603,524,87,88,L,10,9,4,5,3,1,1,15,15,5,10,5,0,0
60,7,09/30/2022 00:00:00,Athletic Club,4:0,Almería,4211,3,2,16,8,58,42,506,359,82,75,W,13,12,4,8,4,1,1,4,4,7,-3,1,4,1
61,7,10/01/2022 00:00:00,Cádiz,0:0,Villarreal,15516,2,6,10,14,40,60,348,526,75,81,D,3,1,14,-13,1,5,0,11,10,2,8,3,1,2
62,7,10/01/2022 00:00:00,Getafe,2:3,Valladolid,10958,5,6,13,13,44,56,369,465,74,83,L,7,6,12,-6,2,3,1,4,3,11,-8,1,4,1
