Id,Week,Date,HomeTeam,Score,AwayTeam,Attendence,HTShotsOnTarget,ATShotsOnTarget,HTShotsTotal,ATShotsTotal,HTPossesion,ATPossesion,HTPassesTotal,ATPassesTotal,HTPassingAccuracy,ATPassingAccuracy,HTResult,HTPoints,HTGoalsScored,HTGoalsAgainst,HTGoalDifference,HTMatchesWon,HTMatchesLost,HTMatchesDraw,ATPoints,ATGoalsScored,ATGoalsAgainst,ATGoalDifference,ATMatchesWon,ATMatchesLost,ATMatchesDraw
145,15,12/30/2022 00:00:00,Celta Vigo,1:1,Sevilla,13653,5,5,17,7,44,56,499,641,80,82,D,12,14,26,-12,3,8,3,11,13,22,-9,2,7,5
146,15,12/30/2022 00:00:00,Valladolid,0:2,Real Madrid,2595,4,6,14,18,39,61,420,662,81,87,L,17,13,21,-8,5,7,2,35,33,14,19,11,1,2
147,15,12/31/2022 00:00:00,Barcelona,1:1,Espanyol,88095,6,0,21,3,77,23,685,210,89,65,D,37,33,5,28,12,1,1,12,16,22,-6,2,6,6
148,15,12/31/2022 00:00:00,Real Sociedad,2:0,Osasuna,34847,2,3,9,11,51,49,469,446,76,69,W,26,19,17,2,8,4,2,23,16,14,2,7,5,2
149,15,12/31/2022 00:00:00,Villarreal,2:1,Valencia,19247,8,4,14,13,52,48,429,389,82,77,W,21,15,10,5,6,5,3,19,22,15,7,5,5,4
150,16,01/06/2023 00:00:00,Elche,0:1,Celta Vigo,20121,5,7,13,14,57,43,562,417,72,72,L,4,10,33,-23,0,11,4,13,15,27,-12,3,8,4
151,16,01/06/2023 00:00:00,Valencia,0:1,Cádiz,39003,2,2,11,6,73,27,617,227,81,60,L,19,23,17,6,5,6,4,12,10,27,-17,2,7,6
152,16,01/07/2023 00:00:00,Villarreal,2:1,Real Madrid,21088,4,2,16,12,49,51,492,518,84,84,W,24,17,11,6,7,5,3,38,35,14,21,12,1,2
153,16,01/07/2023 00:00:00,Mallorca,1:0,Valladolid,14129,4,1,13,9,42,58,394,541,71,80,W,19,13,15,-2,5,6,4,17,13,23,-10,5,8,2
154,16,01/07/2023 00:00:00,Espanyol,2:2,Girona,21429,6,5,12,12,44,56,398,502,74,84,D,13,17,23,-6,2,6,7,17,22,24,-2,4,6,5
155,16,01/08/2023 00:00:00,Almería,0:2,Real Sociedad,1202,1,6,6,9,44,56,425,538,78,81,L,17,17,23,-6,5,8,2,29,21,17,4,9,4,2
156,16,01/08/2023 00:00:00,Rayo Vallecano,1:2,Betis,13119,3,2,15,14,62,38,545,334,78,69,L,23,22,18,4,6,4,5,25,17,12,5,7,4,4
157,16,01/08/2023 00:00:00,Sevilla,2:1,Getafe,35389,5,2,11,11,58,42,610,443,81,74,W,12,14,23,-9,2,7,6,17,14,20,-6,4,6,5
158,16,01/08/2023 00:00:00,Atlético Madrid,0:1,Barcelona,63493,3,2,20,10,42,58,476,666,75,85,L,27,23,14,9,8,4,3,38,34,6,28,12,1,2
159,16,01/09/2023 00:00:00,Athletic Club,0:0,Osasuna,39216,3,1,17,3,59,41,551,377,74,66,D,25,24,14,10,7,4,4,23,16,16,0,7,6,2
160,17,01/13/2023 00:00:00,Celta Vigo,1:1,Villarreal,13931,8,1,21,3,51,49,559,532,84,85,D,16,16,27,-11,4,8,4,27,19,12,7,8,5,3
161,17,01/14/2023 00:00:00,Valladolid,0:1,Rayo Vallecano,19969,2,5,9,12,45,55,397,476,70,75,L,17,13,24,-11,5,9,2,23,23,20,3,6,5,5
162,17,01/14/2023 00:00:00,Girona,2:1,Sevilla,12035,7,2,19,10,46,54,499,582,85,86,W,18,24,26,-2,4,6,6,15,16,24,-8,3,7,6
163,17,01/14/2023 00:00:00,Osasuna,1:0,Mallorca,19887,4,2,15,6,61,39,597,380,84,71,W,24,16,16,0,7,6,3,22,14,15,-1,6,6,4
164,17,01/14/2023 00:00:00,Real Sociedad,3:1,Athletic Club,38296,4,2,10,6,57,43,534,410,81,74,W,32,23,17,6,10,4,2,26,24,14,10,7,4,5
165,17,01/15/2023 00:00:00,Getafe,1:2,Espanyol,10286,2,4,10,10,62,38,518,315,74,64,L,17,15,22,-7,4,7,5,14,19,25,-6,2,6,8
166,17,01/15/2023 00:00:00,Almería,1:1,Atlético Madrid,14128,3,6,14,12,55,45,587,475,82,76,D,17,17,25,-8,5,9,2,27,23,15,8,8,5,3
167,17,01/16/2023 00:00:00,Cádiz,1:1,Elche,17389,3,5,16,12,50,50,435,434,71,76,D,15,11,27,-16,3,7,6,4,10,34,-24,0,12,4
